N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
2352,12.1467,0,0,0,0,0,0,0,0,0,0,7,63,1893,357,31,1,0,0,0,0,0,991,536,0,33,10.8087,18,18,35,25,27,25,27,32,180,87,81,135,1488,170,4,0,0,0,0,0,0,0
2946,12.1232,0,0,0,0,0,0,0,0,0,1,11,82,2411,412,29,0,0,0,0,0,0,1300,663,1,54,11.0153,2,13,34,25,24,19,28,47,251,91,92,197,1914,201,8,0,0,0,0,0,0,0
3854,12.116,0,0,0,0,0,0,0,0,3,3,23,123,3111,546,44,1,0,0,0,0,0,1626,828,0,57,10.5931,44,45,58,58,56,51,58,81,276,126,126,245,2401,218,11,0,0,0,0,0,0,0
251,12.2869,0,0,0,0,0,0,0,0,0,0,10,36,104,76,23,2,0,0,0,0,0,0,0,0,0,0.6773,155,59,20,7,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,12.4475,0,0,0,0,0,0,0,0,0,0,1,31,103,97,24,1,0,0,0,0,0,0,0,0,1,0.8171,131,81,27,9,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
558,12.5538,0,0,0,0,0,0,0,0,0,0,0,33,227,256,40,2,0,0,0,0,0,32,27,0,2,6.2849,43,38,54,39,35,32,30,50,48,48,34,46,42,18,1,0,0,0,0,0,0,0
661,12.4009,0,0,0,0,0,0,0,0,0,0,0,20,387,223,31,0,0,0,0,0,0,150,88,0,6,9.6778,13,11,14,11,18,24,17,30,40,51,61,84,229,52,6,0,0,0,0,0,0,0
839,12.1585,0,0,0,0,0,0,0,0,0,0,5,21,664,135,13,1,0,0,0,0,0,298,199,0,19,9.6675,32,20,26,15,18,14,13,19,100,24,26,58,435,39,0,0,0,0,0,0,0,0
984,12.2195,0,0,0,0,0,0,0,0,0,0,0,20,751,190,23,0,0,0,0,0,0,377,198,0,12,10.5488,7,8,14,15,14,16,22,26,69,50,42,75,544,74,8,0,0,0,0,0,0,0
1317,12.2498,0,0,0,0,0,0,0,0,0,0,8,41,923,305,39,1,0,0,0,0,0,394,246,0,19,9.4867,50,35,43,28,29,25,39,46,122,63,49,96,602,81,9,0,0,0,0,0,0,0
1633,12.2449,0,0,0,0,0,0,0,0,0,0,1,41,1195,350,45,1,0,0,0,0,0,559,367,0,32,10.9161,3,7,27,16,24,12,16,26,140,67,60,107,900,209,19,0,0,0,0,0,0,0
1843,12.1937,0,0,0,0,0,0,0,0,0,0,1,53,1408,351,29,1,0,0,0,0,0,682,380,0,18,10.5735,26,17,26,21,29,17,30,37,130,92,96,135,1034,148,5,0,0,0,0,0,0,0
2547,12.1512,0,0,0,0,0,0,0,0,0,3,13,101,1961,420,46,3,0,0,0,0,0,986,506,0,32,10.3349,45,41,31,47,37,42,47,59,192,107,110,190,1453,143,3,0,0,0,0,0,0,0
